Date,SPX,GLD,USO,SLV,EUR/USD
01-02-2008,1447.160034,84.860001,78.470001,15.18,1.471692
01-03-2008,1447.160034,85.57,78.370003,15.285,1.474491
01-04-2008,1411.630005,85.129997,77.309998,15.167,1.475492
01-07-2008,1416.180054,84.769997,75.5,15.053,1.468299
01-08-2008,1390.189941,86.779999,76.059998,15.59,1.557099
01-09-2008,1409.130005,86.550003,75.25,15.52,1.466405
01-10-2008,1420.329956,88.25,74.019997,16.061001,1.4801
01-11-2008,1401.02002,88.580002,73.089996,16.077,1.479006
1/14/2008,1416.25,89.540001,74.25,16.280001,1.4869
1/15/2008,1380.949951,87.989998,72.779999,15.834,1.48021
1/16/2008,1373.199951,86.699997,71.849998,15.654,1.466405
1/17/2008,1333.25,86.5,71.029999,15.717,1.464
1/18/2008,1325.189941,87.419998,71.540001,16.030001,1.461796
1/22/2008,1310.5,88.169998,70.550003,15.902,1.464794
1/23/2008,1338.599976,87.889999,69.5,15.9,1.463208
1/24/2008,1352.069946,90.080002,70.93,16.299999,1.47741
1/25/2008,1330.609985,90.300003,71.910004,16.298,1.467502
1/28/2008,1353.959961,91.75,72.349998,16.549999,1.478809
1/29/2008,1362.300049,91.150002,72.980003,16.534,1.477192
1/30/2008,1355.810059,92.059998,73.080002,16.674999,1.483107
1/31/2008,1378.550049,91.400002,72.349998,16.818001,1.486503
02-01-2008,1395.420044,89.349998,70.470001,16.618999,1.479991
02-04-2008,1380.819946,89.099998,71.370003,16.514999,1.4828
02-05-2008,1336.640015,87.68,70.150002,16.167,1.463807
02-06-2008,1326.449951,88.949997,69.019997,16.375,1.46171
02-07-2008,1336.910034,89.849998,69.800003,16.67,1.44789
02-08-2008,1331.290039,91,72.900002,17.025999,1.557099
02-11-2008,1339.130005,91.330002,74.550003,17.4,1.4502
02-12-2008,1348.859985,89.330002,73.589996,17.033001,1.458194
2/13/2008,1367.209961,89.440002,74.110001,17.132,1.455604
2/14/2008,1348.859985,89.709999,75.760002,17.087,1.464408
2/15/2008,1349.98999,89.150002,75.93,16.952,1.46761
2/19/2008,1348.780029,91.580002,78.809998,17.378,1.472993
2/20/2008,1360.030029,93.239998,79.32,17.700001,1.472299
2/21/2008,1342.530029,93.25,77.330002,17.695999,1.481503
2/22/2008,1353.109985,93.389999,78.599998,17.916,1.482602
2/25/2008,1371.800049,92.739998,78.739998,17.99,1.483591
2/26/2008,1381.290039,93.709999,80.099998,18.6,1.49961
2/27/2008,1380.02002,94.779999,78.919998,19.132999,1.511807
2/28/2008,1367.680054,95.989998,81.480003,19.666,1.519595
2/29/2008,1330.630005,96.18,80.419998,19.667999,1.519203
03-03-2008,1331.339966,97.239998,81.32,20.163,1.520011
03-04-2008,1326.75,95.18,79.400002,19.620001,1.521005
03-05-2008,1333.699951,97.720001,83.300003,20.621,1.527697
03-06-2008,1304.339966,96.5,83.889999,20.075001,1.538509
03-07-2008,1293.369995,96.089996,83.730003,20.040001,1.533601
03-10-2008,1273.369995,95.870003,85.629997,19.475,1.534095
03-11-2008,1320.650024,95.989998,86.339996,19.52,1.534189
03-12-2008,1308.77002,97.010002,86.919998,19.969999,1.554002
3/13/2008,1315.47998,98.339996,87.209999,20.406,1.562207
3/14/2008,1288.140015,98.709999,86.510002,20.421,1.561792
3/17/2008,1276.599976,99.169998,83.300003,19.98,1.574803
3/18/2008,1330.73999,96.5,85.800003,19.379,1.565803
3/19/2008,1298.420044,93.040001,82.290001,18.250999,1.563893
3/20/2008,1329.51001,89.910004,81.300003,16.701,1.544211
3/24/2008,1349.880005,90.099998,80.260002,16.787001,1.543496
3/25/2008,1352.98999,92.730003,81.470001,17.775,1.561207
3/26/2008,1341.130005,93.800003,84.809998,18.225,1.582404
3/27/2008,1325.76001,93.459999,85.730003,18.32,1.581403
3/28/2008,1315.219971,91.879997,84.370003,17.75,1.576094
04-01-2008,1370.180054,86.860001,81.059998,16.6,1.567791
04-02-2008,1367.530029,89.269997,83.779999,17.246,1.566711
04-03-2008,1369.310059,89.419998,83.650002,17.23,1.573688
04-07-2008,1372.540039,91.169998,86.93,17.950001,1.557802
04-08-2008,1365.540039,90.349998,87.190002,17.507,1.582404
04-09-2008,1354.48999,92.290001,88.900002,18.014999,1.574208
04-10-2008,1360.550049,91.769997,88.18,17.812,1.582203
4/14/2008,1328.319946,91.110001,89.639999,17.514999,1.578607
4/15/2008,1334.430054,91.660004,91.440002,17.681999,1.595813
4/16/2008,1364.709961,93.269997,92.150002,18.153999,1.590204
4/17/2008,1365.560059,92.559998,92.370003,18.01,1.573391
4/21/2008,1388.170044,90.25,94.379997,17.267,1.598798
4/22/2008,1375.939941,90.269997,95.080002,17.476999,1.587402
4/23/2008,1379.930054,89.220001,95.18,17.000999,1.568406
4/24/2008,1388.819946,87.220001,93.199997,16.552,1.563697
4/28/2008,1396.369995,87.690002,95.690002,16.84,1.556711
4/29/2008,1390.939941,85.809998,92.989998,16.382,1.562207
05-01-2008,1409.339966,83.989998,90.379997,15.994,1.5434
05-05-2008,1407.48999,86.269997,96.739998,16.573999,1.553591
05-06-2008,1418.26001,86.629997,98.379997,16.73,1.538509
05-07-2008,1392.569946,85.82,99.800003,16.503,1.546408
05-08-2008,1397.680054,87.239998,100.660004,16.700001,1.548995
05-12-2008,1403.579956,86.989998,100.110001,16.997,1.5477
5/13/2008,1403.040039,85.389999,101.709999,16.554001,1.54691
5/14/2008,1408.660034,85.199997,100.220001,16.365999,1.545094
5/15/2008,1423.569946,87,100.209999,16.555,1.5596
5/19/2008,1426.630005,89.389999,102.800003,16.819,1.565411
5/20/2008,1413.400024,90.900002,104.300003,17.5,1.578806
5/21/2008,1390.709961,91.959999,108.309998,17.860001,1.573193
5/22/2008,1394.349976,90.980003,105.629997,17.780001,1.578507
5/27/2008,1385.349976,89.360001,104.260002,17.256001,1.565607
5/28/2008,1390.839966,89.139999,105.919998,17.264999,1.551807
5/29/2008,1398.26001,86.510002,102.260002,16.478001,1.554098
06-02-2008,1385.670044,87.959999,103.050003,16.642,1.545022
06-03-2008,1377.650024,86.879997,100.650002,16.587,1.543258
06-04-2008,1377.199951,86.650002,98.980003,16.641001,1.558895
06-05-2008,1404.050049,86.449997,103.949997,16.972,1.578507
06-09-2008,1361.76001,87.989998,109.050003,16.944,1.546408
06-10-2008,1358.439941,85.550003,107.019997,16.440001,1.555791
06-11-2008,1335.48999,87.019997,110.989998,16.700001,1.546097
06-12-2008,1339.869995,85.599998,111.269997,16.35,1.536901
6/16/2008,1360.140015,87.010002,108.989998,16.950001,1.552193
6/17/2008,1350.930054,87.25,108.68,16.902,1.553808
6/18/2008,1337.810059,88.279999,110.889999,17.188999,1.550989
6/19/2008,1342.829956,88.419998,106.910004,17.153,1.562793
6/23/2008,1318,87.089996,110.919998,16.629999,1.557002
6/24/2008,1314.290039,87.470001,110.949997,16.492001,1.567398
6/25/2008,1321.969971,87.419998,108.5,16.625999,1.575299
6/26/2008,1283.150024,90.610001,113.120003,17.025,1.575299
07-01-2008,1284.910034,92.660004,114.589996,17.9,1.587806
07-02-2008,1261.52002,93.169998,116.839996,18.215,1.570007
07-03-2008,1262.900024,92.059998,116.82,18.000999,1.571388
07-07-2008,1252.310059,91.230003,114.949997,17.6,1.53339
07-08-2008,1273.699951,90.860001,109.919998,17.664,1.573589
07-09-2008,1244.689941,91.5,109.650002,17.950001,1.578507
07-10-2008,1253.390015,93.529999,114.339996,18.120001,1.594896
7/14/2008,1228.300049,95.910004,117.480003,18.934999,1.589901
7/15/2008,1214.910034,96.169998,112.389999,18.700001,1.582203
7/16/2008,1245.359985,94.440002,109.25,18.545,1.58559
7/17/2008,1260.319946,94.220001,105.529999,18.32,1.585389
7/21/2008,1260,95.120003,106.669998,18.228001,1.579205
7/22/2008,1277,93.059998,103.32,17.759001,1.569243
7/23/2008,1282.189941,90.57,100.019997,17.190001,1.568874
7/24/2008,1252.540039,91.330002,101.459999,17.26,1.5673
7/28/2008,1234.369995,91.730003,100.540001,17.360001,1.55909
7/29/2008,1263.199951,90.589996,98.040001,17.190001,1.557366
7/30/2008,1284.26001,89.519997,102.129997,17.360001,1.559308
08-07-2008,1266.069946,86.089996,96.440002,16.07,1.504891
8/25/2008,1266.839966,80.93,93.099998,13.33,1.464794
8/26/2008,1271.51001,81.230003,93.900002,13.45,1.472581
8/27/2008,1281.660034,81.360001,95.660004,13.35,1.47141
8/28/2008,1300.680054,82.18,93.389999,13.55,1.467093
09-02-2008,1277.579956,79.199997,89.190002,12.94,1.448604
09-03-2008,1274.97998,78.889999,88.440002,12.75,1.426493
09-04-2008,1236.829956,78.389999,87.019997,12.63,1.427491
09-08-2008,1267.790039,78.860001,85.93,11.95,1.414847
09-09-2008,1224.51001,76.489998,82.349998,11.18,1.398406
09-10-2008,1232.040039,74.220001,82.970001,10.6,1.3996
09-11-2008,1249.050049,73.080002,81.489998,10.32,1.423994
9/15/2008,1192.699951,77.559998,76.300003,10.95,1.413507
9/16/2008,1213.599976,76.790001,74.989998,10.4,1.432932
9/17/2008,1156.390015,85.459999,77.5,11.9,1.430492
9/18/2008,1206.51001,82.800003,79.169998,11.89,1.441795
9/22/2008,1207.089966,89.18,87.620003,13.35,1.469292
9/23/2008,1188.219971,88.32,86.129997,13.18,1.463315
9/24/2008,1185.869995,86.709999,84.860001,13.09,1.464193
9/25/2008,1209.180054,86.449997,86.690002,13.03,1.459897
9/29/2008,1106.420044,89.57,77.089996,12.95,1.409642
9/30/2008,1166.359985,85.07,82.010002,11.85,1.40162
10-01-2008,1161.060059,85.970001,79.589996,12.33,1.380796
10-02-2008,1114.280029,82.330002,75.82,10.8,1.378493
10-06-2008,1056.890015,84.279999,71.610001,10.75,1.358806
10-07-2008,996.22998,87.269997,72.489998,11.38,1.495707
10-08-2008,984.940002,89.419998,72.260002,11.51,1.359804
10-09-2008,909.919983,89.900002,69.599998,11.95,1.3398
10/13/2008,1003.349976,81.989998,67.779999,10.59,1.361804
10/14/2008,998.01001,82.199997,65.029999,10.86,1.344393
10/15/2008,907.840027,83.309998,60.73,10.27,1.349
10/16/2008,946.429993,79.290001,59.34,9.6,1.3423
10/20/2008,985.400024,78.5,61.799999,9.77,1.306114
10/21/2008,955.049988,76.029999,58.77,9.98,1.281673
10/22/2008,896.780029,71.709999,54.93,9.45,1.294498
10/23/2008,908.109985,70.650002,56.599998,9.38,1.262993
10/27/2008,848.919983,72.18,50.849998,8.85,1.246463
10/28/2008,940.51001,73.790001,53.220001,9.05,1.280902
10/29/2008,930.090027,74,55.68,9.67,1.295924
10/30/2008,954.090027,72.709999,54,9.68,1.286803
10/31/2008,968.75,71.339996,55.59,9.58,1.270196
11-03-2008,966.299988,71.099998,52.490002,9.62,1.261798
11-04-2008,1005.75,75.480003,57.380001,10.12,1.298398
11-05-2008,952.77002,72.800003,53.84,10.21,1.291806
11-06-2008,904.880005,72.220001,50.150002,9.9,1.269503
